ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-29,7,C,71,будни/утр.,2,2,0,exact
2026-04-29,7,FF,71,будни/утр.,1,1,0,exact
2026-04-29,7,K,71,будни/утр.,4,4,0,exact
2026-04-29,7,TS,71,будни/утр.,1,1,0,exact
2026-04-29,8,BVR,73,будни/утр.,1,1,0,exact
2026-04-29,8,C,73,будни/утр.,2,2,0,exact
2026-04-29,8,FF,73,будни/утр.,1,1,0,exact
2026-04-29,8,K,73,будни/утр.,4,4,0,exact
2026-04-29,8,TS,73,будни/утр.,1,1,0,exact
2026-04-29,9,BVR,74,будни/утр.,1,1,0,exact
2026-04-29,9,C,74,будни/утр.,2,2,0,exact
2026-04-29,9,FF,74,будни/утр.,1,1,0,exact
2026-04-29,9,K,74,будни/утр.,4,4,0,exact
2026-04-29,9,TS,74,будни/утр.,1,1,0,exact
2026-04-29,10,BVR,72,будни/осн.,1,1,0,exact
2026-04-29,10,C,72,будни/осн.,2,2,0,exact
2026-04-29,10,FF,72,будни/осн.,1,1,0,exact
2026-04-29,10,K,72,будни/осн.,5,5,0,exact
2026-04-29,10,TS,72,будни/осн.,1,1,0,exact
2026-04-29,11,BVR,34,будни/осн.,1,1,0,exact
2026-04-29,11,C,34,будни/осн.,1,1,0,exact
2026-04-29,11,FF,34,будни/осн.,1,1,0,exact
2026-04-29,11,K,34,будни/осн.,2,2,0,exact
2026-04-29,11,TS,34,будни/осн.,1,1,0,exact
2026-04-29,12,BVR,28,будни/осн.,1,1,0,exact
2026-04-29,12,C,28,будни/осн.,1,1,0,exact
2026-04-29,12,FF,28,будни/осн.,1,1,0,exact
2026-04-29,12,K,28,будни/осн.,2,2,0,exact
2026-04-29,12,TS,28,будни/осн.,1,1,0,exact
2026-04-29,13,BVR,23,будни/осн.,1,1,0,exact
2026-04-29,13,C,23,будни/осн.,1,1,0,exact
2026-04-29,13,FF,23,будни/осн.,1,1,0,exact
2026-04-29,13,K,23,будни/осн.,2,2,0,exact
2026-04-29,13,TS,23,будни/осн.,1,1,0,exact
